珠穆朗玛峰 别名 圣母峰、萨加玛塔峰

珠穆朗玛峰 走向 东西走向

珠穆朗玛峰 排名 世界第一高峰

富士山 海拔 3775.63m

富士山 面积 约1200平方千米

勃朗峰 海拔 4810.90米

麦金利峰 别名 麦金利山(MountMcKinley)

麦金利峰 海拔 6193米

文森峰 长度 4,897公尺(16,066呎)

文森峰 海拔 4897米

马衔山 宽度 约8至10公里

马衔山 走向 西北、东南走向

麦金利山 别名 麦金利山(MountMcKinley)

麦金利山 海拔 6193米

猫儿山 面积 1.7万公顷

南湖大山 海拔 3740米

鸟鼠山 海拔 2423米

日月山 海拔 4877米

神农顶 面积 883.6平方公里

四姑娘山 面积 591平米千米

四明山 别名 金钟山

四明山 海拔 700米

太白山 别名 太乙山

太白山 海拔 拔仙台3771.2米

太白山 长度 约61公里

太白山 宽度 39公里

太白山 面积 56325公顷

天目山 海拔 1506米

天目山 长度 200公里

天目山 宽度 60公里

天目山 走向 西南—东北

团结峰 海拔 5827米

武功山 面积 约970平方千米

武功山 别名 武功山

武陵山 走向 东北-西南

武陵山 面积 约10万平方公里

武陵山 海拔 在1000米左右

五指山 别名 通什

五指山 面积 1169平方公里

仙霞岭 走向 东北---西南走向

香山 面积 160公顷

小五台山 面积 1800平方公里

兴隆山 海拔 3886米

雪峰山 走向 主脉东北－西南，兼有弧形

雪峰山 长度 350千米

雪峰山 宽度 80～120公里

雁荡山 面积 450平方公里

于山 面积 11.9公顷

玉山 别名 博士县

玉山 面积 1731.2平方公里

中条山 海拔 1200～2300米

嵩山 面积 450平方公里

嵩山 别名 中岳

梵净山 面积 402.75平方千米

梵净山 别名 三山谷

梵净山 海拔 最高峰2572米

大青山 海拔 2338米

贡嘎山 海拔 7556米

贡嘎山 别名 岷雅贡嘎

汗腾格里峰 海拔 6995米

汉科乌马山 别名 安科乌马山

华蓥山 面积 20平方公里

华蓥山 海拔 主峰高1704米

黄岗山 面积 555.6平方公里

基纳巴卢山 别名 金乃巴罗山

基纳巴卢山 海拔 4095米

金佛山 面积 1300平方千米

奎屯峰 海拔 4104米

雷公山 面积 4354.73公顷

加尔赫峰 走向 南北走向

加尔赫峰 海拔 2,469公尺

厄尔布鲁士峰 面积 140平方千米

南峰 海拔 2154.9米

祝融峰 面积 181.5平方公里

祝融峰 纬度 北纬27°18′6″

祝融峰 经度 东经112°41′05″

祝融峰 海拔 1289.8米

连天峰 海拔 1512.4米

汉阳峰 海拔 1474米

姑婆山 面积 7941.1公顷

头陀岭 海拔 425米

碧罗雪山 面积 1199平方公里

仙人台 面积 708.3米高

各拉丹冬 海拔 6621米

华顶山 别名 拜经台

天柱峰 面积 10512公顷

大桦背 海拔 2322米

笔架山 面积 40多万平方

叶斗峰 面积 400余亩

叶斗峰 海拔 3061.1米

蒂里奇米尔峰 海拔 7690米

蒂里奇米尔峰 长度 1600公里

呼和巴什格 海拔 2364米

巨峰 海拔 1132.7米

苏拉木塔格峰 海拔 6295米

阿空加瓜峰 海拔 6964米

大塔山 海拔 2663米

图卜卡勒峰 海拔 4,167米

果洛山 长度 40公里

百草畔 海拔 2035米

塔巴纳恩特莱尼亚纳山 海拔 3482米

万佛顶 海拔 3099米

鸡角尖 海拔 2222.5米

马鬃山 别名 北山

马鬃山 走向 东西

马鬃山 面积 8.8万平方公里

敖包疙瘩 海拔 3556米

敖包疙瘩 别名 达塄浩绕、俄博疙瘩、马蹄岭

莲花峰 别名 36大峰之首

香炉峰 面积 5平方公里

黄牛石 面积 4334公顷

舜源峰 海拔 610米

格尔拉赫峰 海拔 2，655米

雷尼尔山 海拔 4391米

雷尼尔山 经度 121°45′S

雷尼尔山 纬度 46°51′N

木孜塔格峰 海拔 6973米

九顶山 面积 100平方公里

南阳山 别名 普宁市南阳山区

全宝山 长度 16.8公里

全宝山 宽度 约9公里

全宝山 面积 4105公顷

天门山 面积 2平方千米

天门山 别名 嵩梁山

天门山 海拔 1260多米

青城山 面积 200平方千米

青城山 别名 天苍山

青城山 海拔 老君阁1260米

阿空加瓜山 海拔 6962米

慕士塔格峰 面积 275平方公里

慕士塔格峰 海拔 7509米

玉龙塔格峰 海拔 7162米

玉龙塔格峰 面积 3000多平方公里
