渤海 面积 7.7284万平方千米

渤海 深度 18米

太平洋 深度 3957米

太平洋 面积 18134.4万平方千米

大西洋 面积 7676.2万Km²

大西洋 深度 3627m

南海 面积 350万平方千米

南海 深度 4577米（马尼拉海沟）

泰国湾 面积 25万平方千米

印度洋 面积 7411.8万平方公里

印度洋 深度 阿米兰特海沟（9074米）

印度洋 盐度 34.76‰

安达曼海 面积 79.8万平方千米

海阳 面积 1476.9平方公里（不含长江水面）

黑海 面积 436402km²

黑海 深度 1253m

黑海 盐度 3.5%

黑海 蓄水量 54.7万km³

波罗的海 面积 42万平方公里

波罗的海 深度 55米

临海 面积 2203平方公里

北部湾 面积 约12.8万平方公里

北部湾 深度 42m

北冰洋 面积 1475万平方千米

北冰洋 深度 1225米

北冰洋 盐度 3.48%(34.8psu)

地中海 面积 约为2,512,000平方公里

地中海 深度 1450m

地中海 长度 4000千米

海 面积 约占海洋的11%

阿拉伯海 面积 386万平方千米

阿拉伯海 深度 2734米

北海 面积 3337k㎡

挪威海 面积 138.3万平方公里

红海 面积 450,000平方公里

红海 深度 490米

红海 长度 2100公里

红海 盐度 4.1%

