莫斯科 别名 千顶之城
莫斯科 面积 1081平方公里
莫斯科 人口数量 11503501(2010年)
莫斯科 气候类型 温带大陆性气候
莫斯科 宗教 东正教
圣彼得堡 别名 彼得格勒，列宁格勒，北方威尼斯
圣彼得堡 面积 1439平方千米
圣彼得堡 人口数量 4953600（2013年）
圣彼得堡 气候类型 温带大陆性气候
堪培拉 别名 大洋洲的花园城市
堪培拉 面积 2395平方公里
堪培拉 人口数量 36.8万人（2012）
堪培拉 气候类型 亚热带季风性湿润气候
悉尼 别名 雪梨
悉尼 面积 12144.6平方公里
悉尼 人口数量 467万人（2011年）
悉尼 气候类型 亚热带季风性湿润气候
墨尔本 别名 新金山猫本
墨尔本 面积 8831平方公里
墨尔本 人口数量 425万(2012年)
墨尔本 气候类型 温带海洋性气候
墨尔本 简称 墨城
柏林 面积 883平方公里
柏林 人口数量 3563892（2012年底）
柏林 气候类型 海洋性气候
汉堡 面积 755平方千米
汉堡 人口数量 1754317人(2006/11)
汉堡 气候类型 温带海洋性气候
法兰克福 别名 美因河畔法兰克福
法兰克福 面积 248.31平方千米
法兰克福 人口数量 67万
法兰克福 气候类型 温带海洋性气候
巢湖 别名 巢县
巢湖 面积 2063平方千米
巢湖 人口数量 88.9万（2012年）
巢湖 气候类型 亚热带湿润季风气候
华盛顿 民族 美利坚民族
华盛顿 别名 美国国父
芝加哥 别名 风城，芝城
芝加哥 面积 606.2平方公里
芝加哥 人口数量 2841799(2013年)
芝加哥 气候类型 温带大陆性气候
底特律 别名 汽车之城”（theMotorCity）
底特律 面积 370.2平方公里
底特律 人口数量 681090（2013年）
底特律 气候类型 温带大陆性气候
休斯敦 别名 太空城（SpaceCity）
休斯敦 面积 1558.4平方千米
休斯敦 人口数量 2208180（2009年）
休斯敦 气候类型 亚热带季风性湿润气候
西雅图 别名 女王之城
西雅图 面积 369.2平方公里
西雅图 人口数量 58.2万、都会区326万
西雅图 气候类型 空气清新，湿润，2度-24度
巴西利亚 别名 巴西里亚
巴西利亚 面积 5802平方公里
巴西利亚 人口数量 260万（2009年）
巴西利亚 气候类型 热带草原气候
圣保罗 面积 1522平方公里
圣保罗 人口数量 1101万
圣保罗 气候类型 亚热带湿润气候
里约热内卢 别名 里约（Rio）
里约热内卢 面积 1260平方公里
里约热内卢 人口数量 632万(2014)
里约热内卢 气候类型 热带草原性气候
亚历山大 民族 古希腊人
新德里 面积 1482平方公里
新德里 人口数量 1280万(2011年)
加尔各答 面积 18733平方千米
加尔各答 人口数量 15726000(2020年1月)
加尔各答 气候类型 热带气候
孟买 别名 Bombay
孟买 面积 603.4平方千米
孟买 人口数量 1400万(2009年)
孟买 气候类型 热带季风气候
徐州 别名 彭城，天府之州
徐州 面积 11765平方千米
徐州 人口数量 859万（2013年）
徐州 气候类型 温带季风气候
宝鸡 别名 青铜器之乡
宝鸡 面积 18117平方千米（2012）
宝鸡 人口数量 373.67万（2012）
宝鸡 气候类型 温带季风气候
成都 别名 天府之国
成都 面积 12119平方公里（2013年）
成都 人口数量 1417.8万（2012年）
成都 气候类型 亚热带季风性湿润气候
沈阳 别名 东方鲁尔
沈阳 面积 12948平方千米
沈阳 人口数量 810.6万人（第六次人口普查）
沈阳 气候类型 温带半湿润大陆性气候
珠江 别名 粤江
耶路撒冷 别名 圣城
耶路撒冷 面积 126平方千米
耶路撒冷 人口数量 72.4万(2006年)
耶路撒冷 气候类型 亚热带地中海气候
耶路撒冷 宗教 基督教，犹太教，伊斯兰教
旧金山 别名 雾城
旧金山 面积 600平方千米
旧金山 人口数量 852469（2014年）
旧金山 气候类型 地中海气候
圣弗朗西斯科 别名 雾城
圣弗朗西斯科 面积 600平方千米
圣弗朗西斯科 人口数量 852469（2014年）
圣弗朗西斯科 气候类型 地中海气候
北京 别名 北平，燕京，幽州
北京 面积 16410.54平方公里
北京 人口数量 2114.8万（2013年常住人口）
北京 气候类型 北温带季风气候
天津市 别名 沽等
天津市 面积 11946.88平方公里
天津市 人口数量 1413.15万(2012年)
天津市 气候类型 暖温带半湿润大陆季风型气候
荣成 面积 1526平方公里
荣成 人口数量 71.44万
荣成 气候类型 暖温带季风型湿润气候区
漳州 别名 中国水仙之乡
漳州 面积 1.26万平方公里
漳州 人口数量 常住人口480.99万
漳州 气候类型 亚热带季风性湿润气候
厦门 别名 思明州
厦门 面积 1700.61平方公里
厦门 人口数量 367万（2012年）
厦门 气候类型 亚热带海洋性季风气候
香港 别名 香州
香港 面积 1104平方公里
香港 人口数量 713万（2012年6月)
香港 气候类型 亚热带季风气候
东京 别名 江户（东京旧称）
东京 面积 2188平方公里
东京 人口数量 1301万（2012年）
东京 气候类型 亚热带季风气候
日内瓦 面积 15.92平方公里
日内瓦 人口数量 20万
日内瓦 气候类型 海洋性气候
日内瓦 语言 法语
纽约 别名 高谭市
